farm_id,sensor_id,timestamp,region,N,P,K,temperature,humidity,ph,rainfall,ndvi,soc,crop
FARM_0001,SENSOR_1129,2026-01-01 00:00:00,West,90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,0.84,2.46,rice
FARM_0002,SENSOR_3779,2026-01-01 00:01:00,East,85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,0.43,4.11,rice
FARM_0003,SENSOR_2144,2026-01-01 00:02:00,West,60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,0.52,3.76,rice
FARM_0004,SENSOR_4804,2026-01-01 00:03:00,North,74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,0.94,3.33,rice
FARM_0005,SENSOR_7779,2026-01-01 00:04:00,West,78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,0.5,2.56,rice
FARM_0006,SENSOR_6717,2026-01-01 00:05:00,East,69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,0.36,2.75,rice
FARM_0007,SENSOR_7026,2026-01-01 00:06:00,North,69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,0.93,3.11,rice
FARM_0008,SENSOR_3743,2026-01-01 00:07:00,North,94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,0.68,2.58,rice
FARM_0009,SENSOR_7684,2026-01-01 00:08:00,Central,89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,0.31,4.3,rice
FARM_0010,SENSOR_1073,2026-01-01 00:09:00,East,68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,0.87,2.88,rice
FARM_0011,SENSOR_3002,2026-01-01 00:10:00,North,91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,0.71,3.23,rice
FARM_0012,SENSOR_1333,2026-01-01 00:11:00,South,90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,0.79,4.22,rice
FARM_0013,SENSOR_3222,2026-01-01 00:12:00,West,78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,0.71,4.33,rice
FARM_0014,SENSOR_1329,2026-01-01 00:13:00,East,93,56,36,24.01497622,82.05687182,6.98435366,185.2773389,0.81,3.5,rice
FARM_0015,SENSOR_2435,2026-01-01 00:14:00,East,94,50,37,25.66585205,80.66385045,6.94801983,209.5869708,0.4,3.31,rice
FARM_0016,SENSOR_8859,2026-01-01 00:15:00,West,60,48,39,24.28209415,80.30025587,7.042299068999999,231.0863347,0.75,4.34,rice
FARM_0017,SENSOR_5862,2026-01-01 00:16:00,East,85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,0.41,3.67,rice
FARM_0018,SENSOR_4835,2026-01-01 00:17:00,Central,91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,0.92,2.29,rice
FARM_0019,SENSOR_6497,2026-01-01 00:18:00,East,77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,0.6,4.22,rice
FARM_0020,SENSOR_7738,2026-01-01 00:19:00,Central,88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,0.81,1.5,rice
FARM_0021,SENSOR_4801,2026-01-01 00:20:00,Central,89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,0.39,2.01,rice
FARM_0022,SENSOR_4822,2026-01-01 00:21:00,Central,76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,0.93,1.43,rice
FARM_0023,SENSOR_6894,2026-01-01 00:22:00,South,67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,0.89,1.92,rice
FARM_0024,SENSOR_8509,2026-01-01 00:23:00,North,83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,0.48,3.54,rice
FARM_0025,SENSOR_1131,2026-01-01 00:24:00,North,98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,0.85,2.64,rice
FARM_0026,SENSOR_7329,2026-01-01 00:25:00,East,66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,0.77,2.97,rice
FARM_0027,SENSOR_1773,2026-01-01 00:26:00,South,97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,0.84,4.05,rice
FARM_0028,SENSOR_2749,2026-01-01 00:27:00,South,97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,0.78,2.77,rice
FARM_0029,SENSOR_2214,2026-01-01 00:28:00,Central,60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,0.3,3.88,rice
FARM_0030,SENSOR_3202,2026-01-01 00:29:00,South,84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,0.55,1.86,rice
FARM_0031,SENSOR_9287,2026-01-01 00:30:00,West,73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,0.49,2.47,rice
FARM_0032,SENSOR_7988,2026-01-01 00:31:00,Central,92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,0.64,1.42,rice
FARM_0033,SENSOR_3113,2026-01-01 00:32:00,West,85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,0.42,2.37,rice
FARM_0034,SENSOR_3776,2026-01-01 00:33:00,Central,98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,0.91,4.1,rice
FARM_0035,SENSOR_9206,2026-01-01 00:34:00,North,88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,0.36,2.11,rice
